Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Dangling Participles","The Great Red Book Area > 04-Second Pullout (Calico II) > Red Rock > Southern Nevada > Nevada",https://www.mountainproject.com/route/105823943/dangling-participles,2.3,-1,Sport,5.8,2,190,36.15544,-115.43461
"Out of the Blue","Cats vs. Dogs Wall > Clear Creek Canyon > Golden > Colorado",https://www.mountainproject.com/route/108198428/out-of-the-blue,2.3,-1,Sport,5.8+,2,160,39.74363,-105.406
"Methow Inspiration Route","Goat Wall > Mazama > Okanogan > Washington",https://www.mountainproject.com/route/108198051/methow-inspiration-route,2.7,-1,Sport,5.9,5,,48.62285,-120.44865
"Miss Conception","North Face > Whiskey Peak > 16-Black Velvet Canyon > Red Rock > Southern Nevada > Nevada",https://www.mountainproject.com/route/105813521/miss-conception,2.8,-1,"Trad, Sport",5.10a,3,200,36.03509,-115.46345
Donamatrix,"The Headwall > Camelback Mountain > **Phoenix Areas > Central Arizona > Arizona",https://www.mountainproject.com/route/105805876/donamatrix,2.4,-1,Sport,5.8+,2,200,33.51992,-111.97037
"The Grecian Highway","Thessalonian Buttress > Maple Canyon Road > Maple Canyon > Utah",https://www.mountainproject.com/route/105836178/the-grecian-highway,3.1,-1,Sport,5.9,3,285,39.5553,-111.6859
"Moonlight Madness","Big Sleep > Big Sleep Area > Shuteye Ridge > Southern Sierra > California",https://www.mountainproject.com/route/110350452/moonlight-madness,3.5,-1,Sport,5.9-,5,900,37.34058,-119.42248
Fingertips,"South Flank > Daff Dome > Daff Area > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/105879729/fingertips,2.8,-1,Sport,"5.10a R",2,,37.87804,-119.41351
"Lost in the Jungle","The Jungle > Devil's Head > South Platte > Colorado",https://www.mountainproject.com/route/107003842/lost-in-the-jungle,2.5,-1,Sport,5.9,3,250,39.25848,-105.10665
"Fruit Pie","Hostess Gully - West Corridor > Castle Rocks > Castle Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105742175/fruit-pie,2.6,-1,Sport,5.8,3,300,42.12433,-113.67199
"Hollow Man","The Coliseum > South Fork of St. Vrain Canyon > St. Vrain Canyons > Lyons > Colorado",https://www.mountainproject.com/route/106385563/hollow-man,2.8,-1,"Trad, Sport",5.8,2,195,40.16875,-105.37301
"Skylight Arete","Pipeline Wall > Telluride/Norwood area > Colorado",https://www.mountainproject.com/route/105983487/skylight-arete,3.3,-1,Sport,5.8,3,300,37.92354,-107.76635
"Shop and Compare","The Comp Wall > Comp Rock > East Sector > Castle Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/106460891/shop-and-compare,3.6,-1,"Trad, Sport",5.10a,3,260,42.13546,-113.66962
