Route,URL,Avg_Stars,Pitches,Length_(feet),Length_(meters),Area_Latitude,Area_Longitude,Loc_1,Loc_2,Loc_3,Loc_4,Loc_5,Loc_6,Route_type1,Route_type2,Route_type3,Class,Protection_Rating,Aid_Grading
Chinese Rose,https://www.mountainproject.com/route/118015727/chinese-rose,3,5,390,119,24.7356,110.499,Low Mountain,YangShuo,,China,Asia,International,Sport,,,5.10a,,
Degalo,https://www.mountainproject.com/route/117275969/degalo,3,2,140,43,47.01568,8.69845,Vorgipfel (Sektor A),Ibergeregg,,Switzerland,Europe,International,Sport,,,5.10a,,
DiNapoli,https://www.mountainproject.com/route/109439144/dinapoli,3,2,140,43,37.18961,-105.80328,Robust,Manassa,Colorado,USA,North America,Domestic,Sport,,,5.10a,,
La Michoquo,https://www.mountainproject.com/route/113491631/la-michoquo,3,2,150,46,45.91464,6.84592,Forestiers,Les Gaillands,,France,Europe,International,Sport,,,5.10a,,
Geckoplex,https://www.mountainproject.com/route/111106079/geckoplex,3,4,410,125,37.9959,-117.51527,Mushroom Dome,Lone Mountain (Tonopah),Nevada,USA,North America,Domestic,Sport,,,5.10a,,
Sipario di pietra,https://www.mountainproject.com/route/114211219/sipario-di-pietra,3,2,150,46,44.1973,8.3172,Settore Centrale,Monte Sordo,,Italy,Europe,International,Sport,,,5.10a,,
L'Annee des 13 Lunes,https://www.mountainproject.com/route/113526786/lannee-des-13-lunes,3,8,820,250,45.99449,6.46812,Falaise de la Colombière,Northern Alps,,France,Europe,International,Sport,,,5.10a,,
Solarium,https://www.mountainproject.com/route/110391597/solarium,3,2,140,43,51.09785,-115.3159,House of Cards,Cougar Canyon (Creek),,Canada,North America,International,Sport,,,5.10a,,
Firestone,https://www.mountainproject.com/route/111388135/firestone,3,2,200,61,37.9959,-117.51527,Mushroom Dome,Lone Mountain (Tonopah),Nevada,USA,North America,Domestic,Sport,,,5.10a,,
Les Gaugistes,https://www.mountainproject.com/route/113500597/les-gaugistes,3,6,700,213,45.99449,6.46812,Falaise de la Colombière,Northern Alps,,France,Europe,International,Sport,,,5.10a,,
Super Bostik,https://www.mountainproject.com/route/112927030/super-bostik,3,2,165,50,44.19612,8.31821,Lo Specchio,Monte Sordo,,Italy,Europe,International,Sport,,,5.10a,,
Arête Spécial 5c+,https://www.mountainproject.com/route/107190146/arete-special-5c,3,6,400,122,47.2766,7.3713,Moutier,Switzerland,,Switzerland,Europe,International,Sport,,,5.10a,,
Spitzmuis,https://www.mountainproject.com/route/107720388/spitzmuis,3,6,450,137,46.8056,8.3055,Ofen,Melchtal,,Switzerland,Europe,International,Sport,,,5.10a,,
Los Elfos,https://www.mountainproject.com/route/110207357/los-elfos,3,2,150,46,43.20559,-6.01814,La Selva,Valle de Quirós,,Spain,Europe,International,Sport,,,5.10a,,
Sperone 6a,https://www.mountainproject.com/route/107720149/sperone-6a,3,12,1200,366,46.1884,8.7601,Sperone,Ponte Brolla,,Switzerland,Europe,International,Sport,,,5.10a,,
Le Massacre de Saint-Valentin,https://www.mountainproject.com/route/107409187/le-massacre-de-saint-valentin,3,2,210,64,50.4798,4.9388,Massif de la Liedekerke,Rochers de Beez,,Belgium,Europe,International,Sport,,,5.10a,,
Amistades Pelirrojas,https://www.mountainproject.com/route/108686650/amistades-pelirrojas,3,4,295,90,42.17965,1.38589,Roc d'en Sola,Perles,,Spain,Europe,International,Sport,,,5.10a,,
Maltese Falcon,https://www.mountainproject.com/route/115428064/maltese-falcon,3,2,200,61,43.05188,-122.64633,Acker Rock,Southwest Oregon,Oregon,USA,North America,Domestic,Sport,,,5.9,PG13,
Garibaldi,https://www.mountainproject.com/route/107719099/garibaldi,3,3,270,82,46.6662,8.6355,Goldkueste,Oberalp Pass,,Switzerland,Europe,International,Sport,,,5.10a,,
Sabotadores,https://www.mountainproject.com/route/117259194/sabotadores,3,5,700,213,-22.32225,-45.44747,Pedrão de Pedralva,Minas Gerais,,Brazil,South America,International,Sport,,,5.9,PG13,
No one told me to go on the road,https://www.mountainproject.com/route/108311200/no-one-told-me-to-go-on-the-road,3,3,150,46,36.0664,128.4859,You Hak San,South Korea,,South Korea,Asia,International,Sport,,,5.10a,,
Piccadilly di Bedretto,https://www.mountainproject.com/route/106294934/piccadilly-di-bedretto,3,10,1250,381,46.4911,8.4483,Cassina Baggia,Nufenen Pass,,Switzerland,Europe,International,Sport,,,5.10a,,
Rattlesnake Errands,https://www.mountainproject.com/route/109637280/rattlesnake-errands,2.4,2,225,69,37.38788,-118.6742,PSOM Slab,Scheelite Crags / PSOM Slab,California,USA,North America,Domestic,Sport,,,5.10a,,
Bewitched,https://www.mountainproject.com/route/115191596/bewitched,2.7,3,335,102,45.07772,-122.10021,Coethedral Main,Coethedral,Oregon,USA,North America,Domestic,Sport,,,5.9+,,
Women In Comfortable Shoes,https://www.mountainproject.com/route/113151761/women-in-comfortable-shoes,2.3,2,150,46,49.6782,-123.1515,Bulletheads South,The Bulletheads,,Canada,North America,International,Sport,,,5.10a,,
Red Wall,https://www.mountainproject.com/route/112147525/red-wall,2.8,2,150,46,24.7456,110.4935,Wine Bottle,YangShuo,,China,Asia,International,Sport,,,5.10a,,
Piece Out,https://www.mountainproject.com/route/108373424/piece-out,3.4,2,170,52,44.5173,-73.7984,Potter Mountain Cliff,Silver Lake,New York,USA,North America,Domestic,Sport,,,5.9+,,
Nameless 5a,https://www.mountainproject.com/route/113491641/nameless-5a,3,2,150,46,45.91464,6.84592,Forestiers,Les Gaillands,,France,Europe,International,Sport,,,5.7,,
The Cookie Sheet,https://www.mountainproject.com/route/107577045/the-cookie-sheet,2.8,3,450,137,37.71964,-119.71964,The Cookie Sheet,h. Cookie Area,California,USA,North America,Domestic,Sport,,,5.9+,,
Consenting Adults,https://www.mountainproject.com/route/105809460/consenting-adults,2.5,2,250,76,39.28624,-105.06397,Jackson Creek Dome,Jackson Creek,Colorado,USA,North America,Domestic,Sport,,,5.10a,,
Diamond Slipper,https://www.mountainproject.com/route/107805761/diamond-slipper,2.4,2,150,46,44.06505,-123.13853,North Wall,Flagstone,Oregon,USA,North America,Domestic,Sport,,,5.10a,,
Battle Runner,https://www.mountainproject.com/route/107074536/battle-runner,2.4,4,,,35.00367,138.93071,Joyama,Shizuoka Prefecture,,Japan,Asia,International,Sport,,,5.10a,,
At the Speed of the Millzypede,https://www.mountainproject.com/route/113957282/at-the-speed-of-the-millzypede,2.4,3,230,70,25.94968,-100.47518,Los Lobos Wall,Los Lobos Canyon,,Mexico,North America,International,Sport,,,5.9,PG13,
SPF,https://www.mountainproject.com/route/110391568/spf,2.3,2,130,40,51.09785,-115.3159,House of Cards,Cougar Canyon (Creek),,Canada,North America,International,Sport,,,5.10a,,
Lysine-Deficient,https://www.mountainproject.com/route/114086419/lysine-deficient,2.5,2,65,20,34.66955,-116.98706,Showcase Wall,West-Bound Crags,California,USA,North America,Domestic,Sport,,,5.10a,,
Sudwestkante,https://www.mountainproject.com/route/106483681/sudwestkante,2.5,4,480,146,39.7107,21.6186,Ambaria,Meteora,,Greece,Europe,International,Sport,,,5.7,,
The Morgul Vale,https://www.mountainproject.com/route/111750995/the-morgul-vale,3.1,8,800,244,44.30132,-122.14792,South East Face,Wolf Rock,Oregon,USA,North America,Domestic,Sport,,,5.9+,PG13,
Smouf on web,https://www.mountainproject.com/route/114041043/smouf-on-web,2.5,4,530,162,31.58553,-5.59011,Les pieds dans l'eau,Todra Gorge,,Morocco,Africa,International,Sport,,,5.10a,,
L'eperon Claret,https://www.mountainproject.com/route/113491686/leperon-claret,2.5,2,150,46,45.91464,6.84592,Forestiers,Les Gaillands,,France,Europe,International,Sport,,,5.10a,,
Lemur Dreams,https://www.mountainproject.com/route/110987224/lemur-dreams,3,2,220,67,37.99537,-117.51591,Water Works,Lone Mountain (Tonopah),Nevada,USA,North America,Domestic,Sport,,,5.8+,PG13,
After the Sunset,https://www.mountainproject.com/route/108036118/after-the-sunset,2.5,2,165,50,-38.6619,175.86571,The Point,Kawakawa Bay,,New Zealand,Oceania,International,Sport,,,5.10a,,
Diagonale 6a,https://www.mountainproject.com/route/107697451/diagonale-6a,2.5,7,450,137,46.6563,8.5823,Schöllenen Main Cliff,Schöllenen,,Switzerland,Europe,International,Sport,,,5.10a,,
Un Père Noël pour Lucy,https://www.mountainproject.com/route/108246313/un-pere-noel-pour-lucy,2.3,5,420,128,45.9877,6.9152,Les Chèserys,Valley crags,,France,Europe,International,Sport,,,5.10a,,
Kamasutra,https://www.mountainproject.com/route/116763792/kamasutra,2.5,4,450,137,44.30754,15.48398,North Face G1-16,Anica kuk,,Croatia,Europe,International,Sport,,,5.8+,PG13,
"North Arete², Engineering Building",https://www.mountainproject.com/route/118683367/north-arete2-engineering-building,3,3,80,24,48.73249,-122.48682,Western Washington University Buildering,Bellingham Area,Washington,USA,North America,Domestic,Sport,,,5.10-,R,
Star Chek,https://www.mountainproject.com/route/107104796/star-chek,3.4,3,400,122,49.924,-123.1675,Galaxy Buttress,The Gorge,,Canada,North America,International,Sport,,,5.8+,,
High Plains Saga,https://www.mountainproject.com/route/114397818/high-plains-saga,3,4,400,122,42.4536,-107.546,Split Rock,Sweetwater Rocks,Wyoming,USA,North America,Domestic,Sport,,,5.10-,PG13,
Man on the Moon,https://www.mountainproject.com/route/107387628/man-on-the-moon,3.2,4,250,76,35.2411,-111.61791,Main Wall,Higher Solitude,Arizona,USA,North America,Domestic,Sport,,,5.10-,,
