Route,URL,Avg_Stars,Pitches,Length_(feet),Length_(meters),Area_Latitude,Area_Longitude,Loc_1,Loc_2,Loc_3,Loc_4,Loc_5,Loc_6,Route_type1,Route_type2,Route_type3,Class,Protection_Rating,Aid_Grading
La Pulce,https://www.mountainproject.com/route/107497502/la-pulce,3.5,3,260,79,44.214,8.3327,Settore Centrale,Monte Cucco,,Italy,Europe,International,Sport,,,5.9+,,
The Boulevard,https://www.mountainproject.com/route/114538322/the-boulevard,3,2,,,51.10096,-118.18064,Gilligan's Island,Waterworld,,Canada,North America,International,Sport,,,5.8,,
Une arête dans la gorge,https://www.mountainproject.com/route/112140784/une-arete-dans-la-gorge,3.3,12,1800,549,31.58845,-5.59553,Arrete nord,Todra Gorge,,Morocco,Africa,International,Sport,,,5.9+,,
Gratitude,https://www.mountainproject.com/route/115191566/gratitude,3,2,280,85,45.07772,-122.10021,Coethedral Main,Coethedral,Oregon,USA,North America,Domestic,Sport,,,5.8,,
"Green Light (a.k.a. ""Start Shot"" - Startechuss)",https://www.mountainproject.com/route/114796311/green-light-aka-start-shot-startechuss,3,2,200,61,39.7214,21.6192,Doupianifels,Meteora,,Greece,Europe,International,Sport,,,5.8,,
Pokemon,https://www.mountainproject.com/route/117399680/pokemon,3,2,115,35,34.20013,35.9193,Sector II: Grosse Fatigue,Tannourine El Fawqa (Chir Al Ribazi),,Lebanon,Asia,International,Sport,,,5.8,,
Grand Turbo,https://www.mountainproject.com/route/109484992/grand-turbo,3,2,140,43,37.18961,-105.80328,Lefty,Manassa,Colorado,USA,North America,Domestic,Sport,,,5.8,,
Via Normal,https://www.mountainproject.com/route/116193661/via-normal,3,7,900,274,-20.40013,-41.02527,Pedra Azul,Espirito Santo,,Brazil,South America,International,Sport,,,5.8,,
Thin Slice of Heaven,https://www.mountainproject.com/route/112802803/thin-slice-of-heaven,3,2,150,46,39.55567,-111.67371,Purgatory Gap,Maple Canyon Road,Utah,USA,North America,Domestic,Sport,,,5.8,,
P'tit Piton,https://www.mountainproject.com/route/116149902/ptit-piton,3,4,325,99,45.45355,5.84339,La Cochette,Northern Alps,,France,Europe,International,Sport,,,5.8,,
Soldaditos,https://www.mountainproject.com/route/112568558/soldaditos,3,3,120,37,25.61809,-100.46032,Zona Extrema,La Huasteca,,Mexico,North America,International,Sport,,,5.8,,
Eightman,https://www.mountainproject.com/route/111860173/eightman,3,2,105,32,35.54281,138.38357,Haha Iwa - Mother Rock,Ogawayama,,Japan,Asia,International,Sport,,,5.8,,
Tarzan,https://www.mountainproject.com/route/112209767/tarzan,3,2,,,20.73389,107.05537,Hidden Valley (the Farm),Cat Ba Island,,Vietnam,Asia,International,Sport,,,5.8,,
Pilier du Point,https://www.mountainproject.com/route/113514496/pilier-du-point,3,5,430,131,45.87235,6.46474,Col des Aravis,Northern Alps,,France,Europe,International,Sport,,,5.8,,
"Semos Peligrosos (V+, V)",https://www.mountainproject.com/route/118128848/semos-peligrosos-v-v,3,2,,,43.20559,-6.01814,La Selva,Valle de Quirós,,Spain,Europe,International,Sport,,,5.8,,
"Las Brujas (V, V+)",https://www.mountainproject.com/route/118127256/las-brujas-v-v,3,2,,,43.20587,-6.01893,La Cubana,Valle de Quirós,,Spain,Europe,International,Sport,,,5.8,,
Normale,https://www.mountainproject.com/route/111766736/normale,3,3,182,55,46.30733,9.40461,Sasso Bianco,Chiavenna,,Italy,Europe,International,Sport,,,5.8,,
I Don't Tip,https://www.mountainproject.com/route/108122260/i-dont-tip,3,2,118,36,-33.6721,150.27521,Medlow Bath,Blue Mountains,,Australia,Oceania,International,Sport,,,5.8,,
Daedalus,https://www.mountainproject.com/route/112299623/daedalus,3.3,3,320,98,39.7214,21.6192,Doupianifels,Meteora,,Greece,Europe,International,Sport,,,5.9+,,
Astro Zombies,https://www.mountainproject.com/route/108297781/astro-zombies,2.8,6,500,152,37.9768,-107.6588,The Misfits Wall,Ouray vicinity (rock),Colorado,USA,North America,Domestic,Sport,,,5.9+,,
Sideshow,https://www.mountainproject.com/route/107001387/sideshow,2.4,2,100,30,18.75,99.22999,The Furnace,Crazy Horse *TEMPORARILY CLOSED*,,Thailand,Asia,International,Sport,,,5.8,,
The Dude Abides,https://www.mountainproject.com/route/113936772/the-dude-abides,2.7,2,160,49,31.9438,-109.9632,Lebowski Wall,East Stronghold,Arizona,USA,North America,Domestic,Sport,,,5.8,,
Unknown A,https://www.mountainproject.com/route/110754579/unknown-a,2.7,2,170,52,40.63207,-111.75115,Mule Hollow Wall,Big Cottonwood Canyon,Utah,USA,North America,Domestic,Sport,,,5.8,,
L’Echo des Montagnes,https://www.mountainproject.com/route/114266025/lecho-des-montagnes,2.8,5,395,120,24.7356,110.499,Low Mountain,YangShuo,,China,Asia,International,Sport,,,5.8,,
Roototop,https://www.mountainproject.com/route/112262590/roototop,2.6,4,500,152,39.18868,-105.33495,Helen's Dome,Goose Creek/Molly Gulch Campground,Colorado,USA,North America,Domestic,Sport,,,5.8,,
Bernalina,https://www.mountainproject.com/route/106121304/bernalina,3.3,7,500,152,20.74833,-99.94637,South Face,Peña de Bernal,,Mexico,North America,International,Sport,,,5.8-,,
All hail the mighty Tri-sac-a-saurus,https://www.mountainproject.com/route/113109905/all-hail-the-mighty-tri-sac-a-saurus,3.2,2,145,44,34.21851,-111.26871,Stewart Peak,Stewart Pocket,Arizona,USA,North America,Domestic,Sport,,,5.8-,,
Still Bill,https://www.mountainproject.com/route/115194459/still-bill,2.7,2,300,91,43.7974,-73.46669,Rogers Slide,Rogers Rock,New York,USA,North America,Domestic,Sport,,,5.8,,
Anorexia,https://www.mountainproject.com/route/113640053/anorexia,2.7,4,450,137,42.34946,-0.72111,7. El Colorado,Riglos,,Spain,Europe,International,Sport,,,5.8,,
Electric Doughnut,https://www.mountainproject.com/route/114297350/electric-doughnut,2.7,2,200,61,48.41494,-123.60359,Sugarloaf,Victoria,,Canada,North America,International,Sport,,,5.8,,
Ostria,https://www.mountainproject.com/route/107432978/ostria,2.7,2,200,61,39.7214,21.6192,Doupianifels,Meteora,,Greece,Europe,International,Sport,,,5.8,,
Naked Ape,https://www.mountainproject.com/route/108227799/naked-ape,2.5,2,200,61,42.09858,-113.70916,Nameless Tower,City of Rocks,Oregon,USA,North America,Domestic,Sport,,,5.8,,
Le Centenaire,https://www.mountainproject.com/route/109021496/le-centenaire,2.5,3,250,76,46.12405,-74.67619,19 - Le Fou,Montagne d'Argent,,Canada,North America,International,Sport,,,5.8,,
Met du pep dans ta grimpette,https://www.mountainproject.com/route/113657400/met-du-pep-dans-ta-grimpette,2.5,3,180,55,46.26732,-74.68877,b. Secteur multi-pitch,Lac Gervais,,Canada,North America,International,Sport,,,5.8,,
The Matrix,https://www.mountainproject.com/route/106545520/the-matrix,2.6,4,660,201,43.7974,-73.46669,Rogers Slide,Rogers Rock,New York,USA,North America,Domestic,Sport,,,5.8-,,
Small But Fancy,https://www.mountainproject.com/route/115788192/small-but-fancy,2.4,2,100,30,47.57828,-117.28614,West Face,Big Rock,Washington,USA,North America,Domestic,Sport,,,5.8,,
Crystal,https://www.mountainproject.com/route/110037237/crystal,2.3,3,,,36.65275,-118.86456,Crystal Wall,Chimney Rocks,California,USA,North America,Domestic,Sport,,,5.8,,
Tony il Telefonista,https://www.mountainproject.com/route/113521172/tony-il-telefonista,2.5,4,350,107,45.84492,10.86368,Corno di Bo,Nago Torbole,,Italy,Europe,International,Sport,,,5.7,,
Roda Viva,https://www.mountainproject.com/route/107550676/roda-viva,3,4,450,137,-22.95639,-43.16741,Morro da Babilonia,Urca (Pao de Acucar area),,Brazil,South America,International,Sport,,,5.9+,,
Voie Bleu (Blue Route),https://www.mountainproject.com/route/106941724/voie-bleu-blue-route,2.5,5,500,152,45.9877,6.9152,Les Chèserys,Valley crags,,France,Europe,International,Sport,,,5.8,,
Fata Morgana,https://www.mountainproject.com/route/116727374/fata-morgana,2.5,2,180,55,-45.14199,168.77028,Water Wall,Wye Creek,,New Zealand,Oceania,International,Sport,,,5.8,,
Illusoes de Guanabara,https://www.mountainproject.com/route/111961462/illusoes-de-guanabara,2.5,4,560,171,-22.95639,-43.16741,Morro da Babilonia,Urca (Pao de Acucar area),,Brazil,South America,International,Sport,,,5.8,,
La Hiedra,https://www.mountainproject.com/route/112566219/la-hiedra,2.5,2,75,23,25.61809,-100.46032,Zona Extrema,La Huasteca,,Mexico,North America,International,Sport,,,5.8,,
Tres Frijoles,https://www.mountainproject.com/route/106040770/tres-frijoles,2.7,3,380,116,32.43213,-110.79756,Southeast Face,The Fortress,Arizona,USA,North America,Domestic,Sport,,,5.9+,,
Long's Folly: Regular Route,https://www.mountainproject.com/route/108244645/longs-folly-regular-route,2.3,2,95,29,36.4895,-121.1979,High Peaks,Pinnacles National Park,California,USA,North America,Domestic,Sport,,,5.8,,
The Regular Guy,https://www.mountainproject.com/route/113796186/the-regular-guy,2.3,2,,,34.3028,-117.22312,South Face,The Skull,California,USA,North America,Domestic,Sport,,,5.8,,
Tachycardia,https://www.mountainproject.com/route/107669530/tachycardia,3.7,3,300,91,39.5561,-111.6708,Heart Rock,Heart Rock Area,Utah,USA,North America,Domestic,Sport,,,5.7,,
Glow in the Dark,https://www.mountainproject.com/route/117652571/glow-in-the-dark,3,2,140,43,39.2564,-105.08926,Chernobyl,Devil's Head,Colorado,USA,North America,Domestic,Sport,,,5.8-,,
Aftonroe,https://www.mountainproject.com/route/107321855/aftonroe,3,8,,,51.1768,-115.6965,Take it for Granite,Mt. Cory,,Canada,North America,International,Sport,,,5.7,,
First Kiss,https://www.mountainproject.com/route/105852652/first-kiss,3.1,5,450,137,44.3721,-121.14276,(t) Kiss of the Lepers Buttress,Smith Rock,Oregon,USA,North America,Domestic,Sport,,,5.7,,
The Great Chasm,https://www.mountainproject.com/route/105914358/the-great-chasm,3.1,3,300,91,39.5569,-111.6902,The Great Chasm,Middle Fork,Utah,USA,North America,Domestic,Sport,,,5.7,,
Black Gold,https://www.mountainproject.com/route/109070301/black-gold,2.9,5,400,122,39.74102,-105.41042,Creek Side,Clear Creek Canyon,Colorado,USA,North America,Domestic,Sport,,,5.7,,
Big Time,https://www.mountainproject.com/route/105742169/big-time,3.1,4,400,122,42.12418,-113.6714,Castle Rock - South Face,Castle Rocks,Idaho,USA,North America,Domestic,Sport,,,5.7,,
Midas,https://www.mountainproject.com/route/117719681/midas,3,2,130,40,43.22272,-123.56263,Treasure Island,The Callahans,Oregon,USA,North America,Domestic,Sport,,,5.8-,,
Cruel Shoes,https://www.mountainproject.com/route/105742130/cruel-shoes,2.8,3,,,42.08973,-113.70937,Stripe Rock,City of Rocks,Oregon,USA,North America,Domestic,Sport,,,5.7,,
Crowd Pleaser,https://www.mountainproject.com/route/110508566/crowd-pleaser,2.7,2,,,43.8027,-71.83554,Main Cliff Right,Rumney,New Hampshire,USA,North America,Domestic,Sport,,,5.7,,
Man's Best Friend,https://www.mountainproject.com/route/106070440/mans-best-friend,2.7,2,180,55,36.16234,-115.4495,Front Corridor,Parking Lot Area,Nevada,USA,North America,Domestic,Sport,,,5.7,,
Iga,https://www.mountainproject.com/route/118184306/iga,3,2,330,101,31.59031,-5.59556,Polish names,Todra Gorge,,Morocco,Africa,International,Sport,,,5.8-,,
Fractured Fairytales,https://www.mountainproject.com/route/106911087/fractured-fairytales,2.5,6,800,244,39.18868,-105.33495,Helen's Dome,Goose Creek/Molly Gulch Campground,Colorado,USA,North America,Domestic,Sport,,,5.7,,
Don't Rock My Boat,https://www.mountainproject.com/route/110250818/dont-rock-my-boat,2.6,2,205,62,39.74393,-105.24208,B. Recessed Slab,C. Lower Tier,Colorado,USA,North America,Domestic,Sport,,,5.7,,
The Chossmaster,https://www.mountainproject.com/route/106399178/the-chossmaster,2.5,2,90,27,47.02297,-119.97362,King Pins,Sunshine Wall,Washington,USA,North America,Domestic,Sport,,,5.7,,
Bunny Face,https://www.mountainproject.com/route/106154363/bunny-face,2.5,2,150,46,44.3665,-121.14564,(k) The Dihedrals,Smith Rock,Oregon,USA,North America,Domestic,Sport,,,5.7,,
The Big Easy,https://www.mountainproject.com/route/106052151/the-big-easy,2.6,2,,,43.80202,-71.83678,Armed and Dangerous (Main Cliff Left),Rumney,New Hampshire,USA,North America,Domestic,Sport,,,5.7,,
Raindance,https://www.mountainproject.com/route/105741569/raindance,2.5,2,,,42.07673,-113.7137,Flaming Rock,City of Rocks,Oregon,USA,North America,Domestic,Sport,,,5.7,,
Olga,https://www.mountainproject.com/route/118184319/olga,3,2,330,101,31.59031,-5.59556,Polish names,Todra Gorge,,Morocco,Africa,International,Sport,,,5.8-,,
Eye For an Eye,https://www.mountainproject.com/route/106810685/eye-for-an-eye,2.5,2,130,40,36.6056,-118.12796,Lost Eye to the Moon,Cattle Pocket and Corridors Area,California,USA,North America,Domestic,Sport,,,5.7,,
Living Blindly,https://www.mountainproject.com/route/106775995/living-blindly,2.7,3,250,76,44.36809,-121.12388,Tail and Opossum,(x) The Marsupials,Oregon,USA,North America,Domestic,Sport,,,5.7,,
Ame's Way,https://www.mountainproject.com/route/105983471/ames-way,2.7,3,270,82,37.92354,-107.76635,Pipeline Wall,Telluride/Norwood area,Colorado,USA,North America,Domestic,Sport,,,5.7,,
North By Northwest,https://www.mountainproject.com/route/107189454/north-by-northwest,2.6,5,480,146,35.2591,-82.8004,Stone Depot,1. Southern Mountains Region,North Carolina,USA,North America,Domestic,Sport,,,5.7,,
Divided Sky,https://www.mountainproject.com/route/113186148/divided-sky,2.7,4,400,122,38.84175,-120.04551,Meyers Multipitch,Meyers Area,California,USA,North America,Domestic,Sport,,,5.7,,
Renia,https://www.mountainproject.com/route/118184331/renia,3,2,330,101,31.59031,-5.59556,Polish names,Todra Gorge,,Morocco,Africa,International,Sport,,,5.8-,,
Frontside 180,https://www.mountainproject.com/route/117387778/frontside-180,2.9,10,720,219,49.90291,-123.16106,Electric Avenue,Chek,,Canada,North America,International,Sport,,,5.7,,
Thousand Pints of Lite,https://www.mountainproject.com/route/106749318/thousand-pints-of-lite,2.7,3,180,55,37.19133,-113.64333,Sand Dunes,Island In The Sky,Utah,USA,North America,Domestic,Sport,,,5.7,,
Tethys,https://www.mountainproject.com/route/106644613/tethys,2.4,2,200,61,34.51353,-118.40147,Pangea Wall (or Pangaea Wall),Texas Canyon,California,USA,North America,Domestic,Sport,,,5.7,,
Hardrock Miner,https://www.mountainproject.com/route/106450177/hardrock-miner,2.6,5,600,183,37.87688,-107.56991,Eureka Pillar,Eureka area,Colorado,USA,North America,Domestic,Sport,,,5.7,,
Trinacious,https://www.mountainproject.com/route/109131619/trinacious,2.6,4,270,82,35.2591,-82.8004,Stone Depot,1. Southern Mountains Region,North Carolina,USA,North America,Domestic,Sport,,,5.7,,
Being There,https://www.mountainproject.com/route/107501164/being-there,3.8,3,200,61,34.3635,-117.8797,Eagles Roost Buttress,Williamson Rock,California,USA,North America,Domestic,Sport,,,5.7,,
Oh My Gosh,https://www.mountainproject.com/route/108850499/oh-my-gosh,2.3,2,195,59,42.12418,-113.6714,Castle Rock - South Face,Castle Rocks,Idaho,USA,North America,Domestic,Sport,,,5.7,,
Steinadlerroute,https://www.mountainproject.com/route/115130516/steinadlerroute,4,12,1400,427,46.3447,7.86177,Wiwanni,Switzerland,,Switzerland,Europe,International,Sport,,,5.7,,
Sport 400,https://www.mountainproject.com/route/115191156/sport-400,3.3,7,1300,396,47.89869,-69.96097,I. Les Grandes Dalles,Palissades de Charlevoix,,Canada,North America,International,Sport,,,5.7,,
Acne Problem,https://www.mountainproject.com/route/105821011/acne-problem,2.5,2,180,55,43.9853,-122.2985,Hydrotube Area,Flagstone,Oregon,USA,North America,Domestic,Sport,,,5.7,,
Tears of a Clown,https://www.mountainproject.com/route/112857487/tears-of-a-clown,3.3,5,500,152,47.88424,-112.71728,Tears of a Clown,North Fork Teton River Canyon,Montana,USA,North America,Domestic,Sport,,,5.7,,
Sea of Holes,https://www.mountainproject.com/route/105850179/sea-of-holes,3.7,2,350,107,31.92218,-106.04789,Central Wall,North Mountain,Texas,USA,North America,Domestic,Sport,-,-,5.9+,R,-
Arete du vallon,https://www.mountainproject.com/route/116196959/arete-du-vallon,3.5,4,500,152,43.2115,5.45169,Aiguille de Sugiton,Calanque de Sugiton,,France,Europe,International,Sport,,,5.7,,
Family Values,https://www.mountainproject.com/route/105983537/family-values,3,4,300,91,37.9199,-107.7758,Family Values,The Falls Walls,Colorado,USA,North America,Domestic,Sport,,,5.7,,
Shades of Gray,https://www.mountainproject.com/route/112334469/shades-of-gray,2.5,2,150,46,41.80828,-111.63175,Wall of Colors,Logan,Utah,USA,North America,Domestic,Sport,,,5.9+,,
Kaktus,https://www.mountainproject.com/route/107326115/kaktus,2.5,2,60,18,8.0078,98.841,Jungle Gym,Railay East,,Thailand,Asia,International,Sport,,,5.7,,
Luis Arnaud,https://www.mountainproject.com/route/107550688/luis-arnaud,3.2,6,450,137,-22.95639,-43.16741,Morro da Babilonia,Urca (Pao de Acucar area),,Brazil,South America,International,Sport,,,5.7,,
Moss Lords of the Wasatch,https://www.mountainproject.com/route/110777388/moss-lords-of-the-wasatch,2.5,2,200,61,40.6236,-111.76257,East Face Slab,Back of Beyond,Utah,USA,North America,Domestic,Sport,,,5.7,,
Toy Box,https://www.mountainproject.com/route/105821018/toy-box,2.5,3,250,76,43.9855,-122.299,NW Corner,Flagstone,Oregon,USA,North America,Domestic,Sport,,,5.7,,
Pur plaisir,https://www.mountainproject.com/route/112940336/pur-plaisir,3,3,70,21,46.26732,-74.68877,b. Secteur multi-pitch,Lac Gervais,,Canada,North America,International,Sport,,,5.7,,
Joe's Dyke,https://www.mountainproject.com/route/106621379/joes-dyke,2.4,2,270,82,49.6867,-123.135,The Raven's Castle,The Chief,,Canada,North America,International,Sport,,,5.7,,
Girls on Surfboards,https://www.mountainproject.com/route/118748586/girls-on-surfboards,2.9,3,275,84,39.3812,-105.1648,Bali Dome,Deckers,Colorado,USA,North America,Domestic,Sport,,,5.7,,
Summer of Blood,https://www.mountainproject.com/route/112332018/summer-of-blood,3,7,1300,396,39.12622,-105.31377,The Vegetable,South Platte,Colorado,USA,North America,Domestic,Sport,,,5.7,,
Men With Brooms,https://www.mountainproject.com/route/108314133/men-with-brooms,2.6,2,,,51.4076,-116.2405,Outhouse Wall,The Back of The Lake,,Canada,North America,International,Sport,,,5.7,,
Tanner Classic,https://www.mountainproject.com/route/107339646/tanner-classic,2.5,2,150,46,38.30838,-105.26009,Tanner Dome,Oak Creek Canyon,Colorado,USA,North America,Domestic,Sport,,,5.7,,
African Gypsy,https://www.mountainproject.com/route/109690863/african-gypsy,2.4,3,250,76,40.32278,-112.90258,African Gypsy,White Rocks,Utah,USA,North America,Domestic,Sport,,,5.7,,
Rantanplan,https://www.mountainproject.com/route/112821262/rantanplan,3,3,295,90,41.5894,1.8282,3. Magdalena Inferior,Gorros,,Spain,Europe,International,Sport,,,5.7,,
Walk the Line,https://www.mountainproject.com/route/107242988/walk-the-line,2.5,3,300,91,36.58651,-118.24075,Candlelight Buttress,Whitney Portal,California,USA,North America,Domestic,Sport,,,5.9+,,
La Somone,https://www.mountainproject.com/route/113314273/la-somone,2.5,7,600,183,45.93357,6.83771,Le Brévent,Aiguilles Rouges,,France,Europe,International,Sport,,,5.8-,,
Matinee,https://www.mountainproject.com/route/110326466/matinee,3,2,180,55,37.99673,-117.52103,The Ramp,Lone Mountain (Tonopah),Nevada,USA,North America,Domestic,Sport,,,5.7,,
Orachasm,https://www.mountainproject.com/route/117661297/orachasm,3,2,150,46,33.46891,-111.5448,Greevers' Needle,**Phoenix Areas,Arizona,USA,North America,Domestic,Sport,,,5.7,,
Wizard Tower,https://www.mountainproject.com/route/115124333/wizard-tower,3,3,,,43.05188,-122.64633,Acker Rock,Southwest Oregon,Oregon,USA,North America,Domestic,Sport,,,5.7,,
Chi vuole essere lieto... Lieto sia,https://www.mountainproject.com/route/117094884/chi-vuole-essere-lieto-lieto-sia,3,5,600,183,44.05535,9.82567,Pilastro del Bunker,Muzzerone,,Italy,Europe,International,Sport,,,5.9+,,
Geronimo,https://www.mountainproject.com/route/116609411/geronimo,3,2,150,46,33.28112,-111.07415,Apache Leap,Queen Creek Canyon,Arizona,USA,North America,Domestic,Sport,,,5.7,,
Black Tide,https://www.mountainproject.com/route/115383430/black-tide,3,2,160,49,44.81752,-68.49484,c. Main Face,Parks Pond Bluff,Maine,USA,North America,Domestic,Sport,,,5.7,,
